"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000001497.18",109,127,101,9,8,26,19,7,18,96,8,12
"ENSMUSG00000001504.10",336,276,186,690,689,434,1321,899,664,194,917,989
"ENSMUSG00000001506.10",8879,8977,5703,545,4472,4961,1267,1354,672,6157,1212,1282
"ENSMUSG00000001507.16",111,109,112,80,86,114,151,69,98,70,111,170
"ENSMUSG00000001508.15",2,6,4,0,0,1,0,3,0,7,0,0
"ENSMUSG00000001510.8",74,82,59,136,114,80,186,139,263,66,211,261
"ENSMUSG00000001517.14",796,795,648,246,302,248,453,259,387,467,444,368
"ENSMUSG00000001518.12",635,1300,1220,509,617,774,629,646,893,732,768,1122
"ENSMUSG00000001520.12",202,476,314,85,65,228,119,188,144,232,176,233
"ENSMUSG00000001521.12",1487,863,841,357,477,411,1210,453,622,599,965,808
"ENSMUSG00000001524.14",636,1284,967,632,734,841,618,753,1194,760,881,1142
"ENSMUSG00000001525.10",74347,103239,77208,47530,56561,61691,65788,80722,76399,73016,94800,106495
"ENSMUSG00000001542.6",206,299,180,94,172,150,254,219,141,188,163,204
"ENSMUSG00000001552.14",620,963,736,972,1413,999,1028,1409,1602,635,1596,2053
"ENSMUSG00000001555.10",3166,3986,2530,438,757,1325,781,946,874,2557,872,1632
"ENSMUSG00000001558.5",33,51,56,20,53,36,50,37,45,24,42,60
"ENSMUSG00000001566.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001569.10",754,669,574,342,521,517,739,674,546,409,858,777
"ENSMUSG00000001576.14",1659,2425,1681,740,1079,1126,1490,1340,1364,1439,1301,1595
"ENSMUSG00000001583.13",19,35,26,23,21,41,27,34,84,26,39,72
"ENSMUSG00000001588.12",13,25,8,4,8,10,8,4,2,9,3,2
"ENSMUSG00000001604.14",469,695,710,232,459,208,278,264,392,495,429,369
"ENSMUSG00000001622.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001627.11",638,429,371,459,557,376,1025,597,563,356,699,590
"ENSMUSG00000001630.13",1278,3302,2457,850,888,1822,1042,2346,1770,1517,1438,2763
"ENSMUSG00000001632.16",413,486,408,255,395,426,463,441,452,298,526,713
"ENSMUSG00000001642.18",3324,5745,6187,2267,3839,2935,2532,2146,3875,3412,2917,3551
"ENSMUSG00000001655.6",0,0,0,0,0,0,0,0,0,3,0,0
"ENSMUSG00000001656.3",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000001657.7",2,2,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000001661.5",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000001663.10",287,432,332,38,55,71,38,81,88,261,48,53
"ENSMUSG00000001665.10",419,629,677,149,214,225,195,288,268,409,204,296
"ENSMUSG00000001666.8",497,751,881,935,1222,695,953,894,1106,625,817,1140
"ENSMUSG00000001670.13",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000001672.14",64,39,46,76,108,57,162,115,114,30,139,108
"ENSMUSG00000001674.11",1894,2602,2468,1459,2491,1673,2203,2044,2062,1547,2068,2254
"ENSMUSG00000001687.15",2027,3228,2877,2626,2926,2827,3148,4604,4345,2547,3103,4648
"ENSMUSG00000001700.9",499,640,510,162,166,246,312,337,256,412,207,314
"ENSMUSG00000001707.7",1860,3067,3019,4032,5434,3660,3949,5068,4823,2262,4281,5524
"ENSMUSG00000001729.14",7129,5786,4568,2462,2568,2890,5545,3120,3521,4186,6260,5222
"ENSMUSG00000001739.14",4,2,3,0,1,3,4,0,1,4,3,1
"ENSMUSG00000001741.12",158,179,163,7,38,53,29,46,27,99,24,43
"ENSMUSG00000001750.15",194,218,188,37,41,74,34,83,34,184,42,58
"ENSMUSG00000001751.9",136,144,172,50,49,58,50,32,51,81,68,78
"ENSMUSG00000001755.12",557,875,741,540,766,821,784,754,941,584,734,1094
"ENSMUSG00000001761.7",2890,2238,1916,826,833,781,1833,1109,1186,1693,1462,1254
"ENSMUSG00000001763.14",25,25,22,27,33,29,16,30,45,13,32,58
"ENSMUSG00000001767.5",770,1298,1230,774,1112,1086,1052,1141,1164,695,796,993
"ENSMUSG00000001768.15",1337,1633,1506,454,681,653,795,769,618,1140,694,968
"ENSMUSG00000001773.14",2,1,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001774.7",1387,2475,1952,1543,1987,2098,1762,2804,2471,1434,1609,2307
"ENSMUSG00000001783.3",5373,9358,9357,3684,4875,4749,4236,4497,5164,5503,5398,5479
"ENSMUSG00000001785.11",785,2130,1779,758,937,1521,756,1431,1538,1153,945,1735
"ENSMUSG00000001786.14",646,787,664,352,393,557,604,549,544,481,548,684
"ENSMUSG00000001794.13",6612,5718,5867,2161,3119,2086,3616,2503,2758,4274,4053,4443
"ENSMUSG00000001802.16",271,203,176,184,187,194,373,216,199,180,308,330
"ENSMUSG00000001804.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001815.15",0,1,0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000001819.4",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000001823.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001827.12",0,0,3,1,0,0,0,0,0,2,0,0
